<역별 승하차인원>,,,,,,,,,,,,,,,,,,,,,
전체,구분,05~06,06~07,07~08,08~09,09~10,10~11,11~12,12~13,13~14,14~15,15~16,16~17,17~18,18~19,19~20,20~21,21~22,22~23,23~24,24~01
당 산,승차," 15,212 "," 43,847 "," 128,019 "," 149,612 "," 95,097 "," 67,613 "," 61,699 "," 60,804 "," 58,934 "," 52,522 "," 52,890 "," 61,144 "," 74,876 "," 105,143 "," 73,695 "," 48,135 "," 42,088 "," 36,517 "," 16,993 "," 2,219 "
,하차," 5,403 "," 25,998 "," 52,245 "," 116,439 "," 57,578 "," 38,673 "," 37,434 "," 42,139 "," 50,489 "," 51,320 "," 55,856 "," 62,905 "," 75,783 "," 103,450 "," 106,951 "," 80,002 "," 74,191 "," 80,601 "," 57,564 "," 14,149 "
합 정,승차," 11,279 "," 25,331 "," 69,099 "," 81,219 "," 49,912 "," 41,030 "," 36,880 "," 37,290 "," 41,188 "," 38,272 "," 37,105 "," 39,773 "," 48,992 "," 84,678 "," 65,534 "," 39,341 "," 39,013 "," 38,171 "," 19,737 "," 2,524 "
,하차," 3,895 "," 16,387 "," 32,391 "," 97,240 "," 58,895 "," 33,272 "," 29,163 "," 29,477 "," 33,129 "," 33,890 "," 33,861 "," 37,218 "," 43,411 "," 56,150 "," 58,713 "," 40,397 "," 36,096 "," 36,401 "," 25,925 "," 8,596 "
홍 대,승차," 33,230 "," 39,367 "," 92,335 "," 110,266 "," 62,307 "," 49,104 "," 49,848 "," 55,873 "," 67,570 "," 68,680 "," 72,910 "," 81,218 "," 101,020 "," 142,255 "," 114,308 "," 96,348 "," 120,270 "," 171,174 "," 87,584 "," 12,544 "
,하차," 3,342 "," 16,867 "," 45,527 "," 141,583 "," 111,309 "," 70,313 "," 61,165 "," 72,508 "," 86,447 "," 85,289 "," 88,211 "," 99,658 "," 140,782 "," 170,444 "," 178,288 "," 108,983 "," 82,894 "," 73,831 "," 57,524 "," 23,171 "
신 촌,승차," 16,080 "," 24,059 "," 57,826 "," 74,313 "," 49,514 "," 48,844 "," 58,666 "," 70,790 "," 84,257 "," 83,375 "," 96,050 "," 107,020 "," 129,415 "," 148,010 "," 121,326 "," 128,816 "," 141,022 "," 164,281 "," 94,013 "," 12,761 "
,하차," 4,178 "," 22,263 "," 53,217 "," 135,883 "," 138,311 "," 104,598 "," 88,342 "," 92,577 "," 100,059 "," 97,327 "," 97,548 "," 106,362 "," 136,677 "," 186,474 "," 176,422 "," 99,515 "," 73,395 "," 66,075 "," 47,967 "," 15,262 "
이 대,승차," 8,225 "," 13,428 "," 35,341 "," 52,158 "," 30,929 "," 22,532 "," 25,812 "," 39,401 "," 43,524 "," 45,092 "," 53,286 "," 63,923 "," 80,173 "," 77,268 "," 59,390 "," 52,614 "," 58,991 "," 50,322 "," 16,094 "," 1,807 "
,하차, 986 ," 8,626 "," 24,063 "," 61,298 "," 88,143 "," 59,048 "," 43,271 "," 53,190 "," 54,957 "," 48,605 "," 49,545 "," 49,766 "," 53,418 "," 65,288 "," 58,194 "," 37,396 "," 30,644 "," 30,558 "," 20,671 "," 7,013 "
아 현,승차," 8,325 "," 14,819 "," 38,594 "," 55,193 "," 33,288 "," 23,344 "," 22,226 "," 22,897 "," 21,262 "," 20,153 "," 21,336 "," 27,194 "," 24,717 "," 27,661 "," 20,507 "," 15,514 "," 13,404 "," 12,242 "," 5,954 ", 846 
,하차, 926 ," 5,940 "," 24,164 "," 32,680 "," 19,553 "," 15,483 "," 13,911 "," 15,356 "," 16,499 "," 17,357 "," 19,597 "," 22,368 "," 24,953 "," 35,356 "," 37,241 "," 27,120 "," 25,794 "," 26,990 "," 18,326 "," 5,409 "
충정로,승차," 4,032 "," 7,785 "," 19,570 "," 28,691 "," 18,576 "," 14,142 "," 16,125 "," 16,527 "," 17,726 "," 17,713 "," 17,509 "," 21,707 "," 21,892 "," 47,788 "," 27,922 "," 16,582 "," 16,341 "," 14,342 "," 6,308 ", 768 
,하차," 1,433 "," 8,047 "," 34,373 "," 70,036 "," 30,200 "," 16,097 "," 15,013 "," 14,027 "," 15,796 "," 15,763 "," 16,023 "," 16,562 "," 18,451 "," 23,152 "," 21,446 "," 15,137 "," 14,762 "," 15,491 "," 10,562 "," 3,555 "
용 답,승차," 2,882 "," 4,432 "," 11,534 "," 15,986 "," 6,915 "," 4,356 "," 3,994 "," 4,145 "," 4,444 "," 3,949 "," 3,750 "," 3,975 "," 4,438 "," 4,337 "," 3,345 "," 2,487 "," 1,978 "," 1,472 ", 670 , 106 
,하차, 141 ," 1,183 "," 1,815 "," 3,969 "," 2,986 "," 3,027 "," 2,927 "," 3,171 "," 3,809 "," 3,668 "," 4,491 "," 5,886 "," 6,755 "," 10,650 "," 10,724 "," 7,373 "," 7,432 "," 7,643 "," 5,821 "," 1,606 "
신 답,승차," 1,997 "," 2,747 "," 9,790 "," 11,288 "," 4,800 "," 3,107 "," 3,183 "," 3,123 "," 3,228 "," 3,355 "," 2,890 "," 2,733 "," 3,169 "," 3,174 "," 2,305 "," 1,479 "," 1,129 ", 694 , 339 , 37 
,하차, 115 , 766 ," 1,205 "," 2,488 "," 2,304 "," 2,077 "," 2,553 "," 2,801 "," 2,950 "," 3,216 "," 3,755 "," 4,832 "," 5,365 "," 8,471 "," 8,034 "," 5,882 "," 5,304 "," 5,030 "," 3,470 ", 864 
신설동(2),승차, 862 ," 1,557 "," 3,277 "," 4,712 "," 4,034 "," 5,143 "," 6,755 "," 8,484 "," 10,369 "," 11,631 "," 14,032 "," 14,732 "," 16,816 "," 21,109 "," 13,312 "," 7,257 "," 5,502 "," 5,012 "," 1,402 ", 182 
,하차, 269 ," 1,974 "," 8,539 "," 23,993 "," 15,885 "," 10,967 "," 9,513 "," 9,625 "," 10,004 "," 9,784 "," 9,217 "," 7,761 "," 6,965 "," 6,720 "," 4,837 "," 2,967 "," 2,459 "," 2,559 "," 1,952 ", 894 
도림천,승차, 392 , 551 ," 1,757 "," 1,660 "," 1,194 "," 1,069 ", 867 , 936 ," 1,006 ", 846 , 952 ," 1,254 "," 1,923 "," 2,181 "," 1,109 ", 766 , 715 , 494 , 198 , 55 
,하차, 198 ," 1,166 "," 2,106 "," 4,587 "," 1,317 ", 914 , 798 , 832 , 927 , 937 , 939 ," 1,127 "," 1,397 "," 1,542 "," 1,409 "," 1,107 ", 986 , 958 , 652 , 325 
양천구청,승차," 5,863 "," 14,172 "," 39,183 "," 37,174 "," 23,724 "," 16,874 "," 14,684 "," 14,732 "," 13,563 "," 11,926 "," 10,961 "," 11,758 "," 13,292 "," 13,318 "," 8,267 "," 5,963 "," 5,879 "," 5,044 "," 1,959 ", 262 
,하차," 1,324 "," 3,355 "," 6,566 "," 14,705 "," 10,031 "," 7,788 "," 8,431 "," 10,533 "," 12,828 "," 12,789 "," 13,572 "," 16,400 "," 19,379 "," 24,678 "," 28,166 "," 20,852 "," 18,846 "," 21,823 "," 16,523 "," 6,149 "
신정네거,승차," 12,879 "," 22,922 "," 66,799 "," 65,095 "," 33,470 "," 22,896 "," 20,755 "," 21,135 "," 19,293 "," 16,669 "," 15,799 "," 17,375 "," 17,520 "," 17,830 "," 13,324 "," 10,024 "," 8,844 "," 7,291 "," 3,734 ", 479 
,하차," 1,269 "," 4,162 "," 6,732 "," 14,606 "," 12,314 "," 10,497 "," 11,135 "," 12,271 "," 14,655 "," 16,681 "," 19,738 "," 23,458 "," 30,566 "," 43,726 "," 50,218 "," 36,328 "," 32,390 "," 35,387 "," 24,328 "," 8,528 "
용두역,승차, 895 ," 1,174 "," 4,101 "," 5,096 "," 2,681 "," 2,555 "," 3,042 "," 3,459 "," 3,938 "," 3,870 "," 4,720 "," 4,772 "," 5,826 "," 6,090 "," 3,546 "," 2,459 "," 2,292 "," 1,866 ", 802 , 125 
,하차, 172 ," 1,566 "," 3,056 "," 5,517 "," 3,807 "," 3,322 "," 3,447 "," 3,983 "," 4,759 "," 5,077 "," 5,027 "," 4,823 "," 5,242 "," 6,632 "," 5,420 "," 3,868 "," 3,128 "," 3,154 "," 1,940 ", 613 
지 축,승차," 1,667 "," 3,925 "," 11,334 "," 11,633 "," 7,453 "," 6,207 "," 5,191 "," 5,471 "," 5,784 "," 5,500 "," 5,012 "," 5,480 "," 6,600 "," 6,427 "," 4,730 "," 2,856 "," 2,111 "," 1,327 ", 546 , 166 
,하차, 294 ," 2,974 "," 4,092 "," 5,114 "," 5,299 "," 5,236 "," 4,365 "," 4,557 "," 4,849 "," 4,938 "," 5,713 "," 7,022 "," 7,105 "," 8,794 "," 8,558 "," 7,166 "," 6,564 "," 6,556 "," 4,257 ", 858 
구파발,승차," 4,171 "," 12,805 "," 46,805 "," 48,455 "," 24,820 "," 18,113 "," 14,466 "," 14,409 "," 14,274 "," 15,343 "," 16,656 "," 21,571 "," 30,884 "," 31,460 "," 14,154 "," 8,226 "," 5,076 "," 3,106 ", 993 , 120 
,하차," 1,196 "," 21,318 "," 19,764 "," 23,620 "," 25,312 "," 20,556 "," 13,244 "," 9,449 "," 8,148 "," 7,781 "," 7,604 "," 7,771 "," 8,401 "," 10,821 "," 11,650 "," 8,755 "," 7,879 "," 7,701 "," 7,334 "," 4,865 "
연신내,승차," 21,938 "," 48,932 "," 140,751 "," 170,874 "," 90,142 "," 63,295 "," 58,545 "," 59,293 "," 58,842 "," 54,121 "," 53,532 "," 58,932 "," 65,161 "," 68,431 "," 49,893 "," 38,429 "," 35,278 "," 31,097 "," 15,894 "," 2,118 "
,하차," 2,401 "," 21,004 "," 37,012 "," 42,585 "," 40,717 "," 35,230 "," 34,589 "," 39,280 "," 43,236 "," 47,487 "," 53,320 "," 61,778 "," 75,105 "," 104,658 "," 121,378 "," 89,071 "," 76,882 "," 75,568 "," 53,859 "," 16,528 "
불 광,승차," 9,566 "," 20,024 "," 60,151 "," 74,815 "," 38,794 "," 28,512 "," 26,396 "," 27,473 "," 30,289 "," 30,939 "," 31,123 "," 32,899 "," 35,611 "," 42,424 "," 28,299 "," 20,964 "," 18,519 "," 15,684 "," 7,483 ", 946 
,하차," 1,241 "," 7,950 "," 13,684 "," 43,596 "," 45,011 "," 34,613 "," 26,427 "," 28,347 "," 31,454 "," 32,440 "," 32,361 "," 36,359 "," 40,305 "," 53,418 "," 57,090 "," 40,456 "," 33,129 "," 31,664 "," 22,287 "," 6,819 "
녹 번,승차," 11,027 "," 24,635 "," 84,153 "," 107,966 "," 51,817 "," 32,006 "," 27,415 "," 26,289 "," 24,890 "," 21,679 "," 20,149 "," 20,107 "," 21,821 "," 24,993 "," 17,651 "," 12,524 "," 10,643 "," 7,915 "," 4,316 ", 552 
,하차, 658 ," 7,079 "," 10,840 "," 22,226 "," 14,098 "," 13,767 "," 13,187 "," 14,788 "," 17,446 "," 18,753 "," 20,735 "," 25,696 "," 31,015 "," 43,601 "," 51,031 "," 38,256 "," 35,027 "," 37,082 "," 27,322 "," 7,013 "
홍 제,승차," 12,852 "," 30,121 "," 89,023 "," 109,293 "," 62,123 "," 43,756 "," 38,762 "," 38,371 "," 38,997 "," 34,997 "," 33,758 "," 35,493 "," 36,554 "," 38,852 "," 28,100 "," 21,378 "," 18,596 "," 14,826 "," 7,023 ", 820 
,하차," 1,255 "," 8,782 "," 17,051 "," 42,128 "," 30,521 "," 25,958 "," 24,782 "," 27,897 "," 29,814 "," 31,068 "," 34,923 "," 43,055 "," 49,451 "," 65,469 "," 71,537 "," 51,623 "," 45,278 "," 47,288 "," 34,984 "," 7,436 "
무악재,승차," 2,899 "," 6,217 "," 21,352 "," 23,813 "," 13,846 "," 9,551 "," 8,089 "," 7,631 "," 7,219 "," 6,152 "," 5,939 "," 6,164 "," 6,535 "," 7,367 "," 5,057 "," 3,883 "," 3,116 "," 2,504 "," 1,271 ", 244 
,하차, 355 ," 1,560 "," 3,281 "," 8,398 "," 4,834 "," 4,004 "," 4,489 "," 4,808 "," 5,612 "," 6,364 "," 7,490 "," 8,416 "," 10,385 "," 13,260 "," 14,741 "," 11,344 "," 10,489 "," 11,363 "," 7,809 "," 2,056 "
독립문,승차," 6,839 "," 8,685 "," 20,508 "," 24,810 "," 16,989 "," 15,224 "," 15,843 "," 16,017 "," 16,747 "," 15,414 "," 15,830 "," 18,041 "," 17,666 "," 20,011 "," 12,798 "," 9,206 "," 8,733 "," 7,825 "," 3,278 ", 441 
,하차, 880 ," 7,603 "," 20,965 "," 32,372 "," 20,965 "," 14,700 "," 13,114 "," 12,424 "," 14,357 "," 14,401 "," 14,748 "," 15,126 "," 17,057 "," 21,047 "," 18,907 "," 13,871 "," 12,530 "," 12,718 "," 9,118 "," 5,635 "
경복궁,승차," 3,679 "," 8,337 "," 21,400 "," 31,975 "," 25,680 "," 22,305 "," 27,257 "," 32,015 "," 35,926 "," 37,821 "," 44,173 "," 54,639 "," 66,430 "," 88,569 "," 51,080 "," 36,069 "," 39,948 "," 36,335 "," 15,486 "," 1,698 "
,하차," 1,432 "," 14,736 "," 54,855 "," 134,053 "," 80,428 "," 49,719 "," 41,227 "," 39,671 "," 40,027 "," 36,654 "," 33,609 "," 31,064 "," 32,346 "," 37,661 "," 29,549 "," 18,974 "," 16,526 "," 16,678 "," 12,070 "," 3,291 "
안 국,승차," 2,894 "," 4,437 "," 9,765 "," 16,643 "," 19,678 "," 19,209 "," 27,355 "," 42,487 "," 50,098 "," 48,562 "," 57,955 "," 66,012 "," 63,488 "," 95,521 "," 61,721 "," 42,897 "," 48,405 "," 44,926 "," 17,575 "," 1,763 "
,하차," 1,521 "," 16,306 "," 99,403 "," 150,278 "," 85,188 "," 57,762 "," 54,932 "," 53,553 "," 52,554 "," 49,334 "," 43,454 "," 37,672 "," 37,649 "," 37,449 "," 26,393 "," 12,734 "," 9,106 "," 8,130 "," 5,568 "," 1,412 "
종로3(3),승차, 908 ," 1,512 "," 2,577 "," 3,916 "," 5,020 "," 6,976 "," 10,100 "," 12,380 "," 14,751 "," 15,883 "," 19,347 "," 23,684 "," 29,729 "," 43,246 "," 42,529 "," 22,519 "," 19,867 "," 16,627 "," 6,756 ", 883 
,하차, 338 ," 3,494 "," 9,914 "," 36,712 "," 49,116 "," 34,068 "," 22,729 "," 22,277 "," 23,330 "," 23,484 "," 20,653 "," 17,310 "," 15,966 "," 17,269 "," 13,193 "," 6,602 "," 3,861 "," 2,856 "," 1,991 ", 767 
을지3(3),승차, 639 ," 1,050 "," 1,957 "," 2,938 "," 5,499 "," 7,721 "," 10,001 "," 10,875 "," 14,540 "," 16,579 "," 18,549 "," 20,063 "," 23,832 "," 42,301 "," 38,526 "," 20,312 "," 16,444 "," 11,993 "," 5,483 ", 960 
,하차, 588 ," 4,910 "," 19,665 "," 72,830 "," 43,831 "," 23,635 "," 18,942 "," 16,038 "," 16,112 "," 16,210 "," 14,681 "," 13,450 "," 12,625 "," 12,630 "," 8,020 "," 4,032 "," 2,467 "," 1,671 "," 1,265 ", 663 
동 대,승차," 1,528 "," 3,839 "," 8,705 "," 11,404 "," 9,301 "," 9,258 "," 11,749 "," 15,747 "," 20,406 "," 20,631 "," 26,512 "," 28,420 "," 39,943 "," 42,989 "," 35,236 "," 30,828 "," 28,659 "," 25,049 "," 11,355 "," 1,238 "
,하차," 1,402 "," 8,280 "," 17,319 "," 69,026 "," 47,108 "," 39,659 "," 31,731 "," 28,388 "," 32,876 "," 25,502 "," 22,773 "," 18,393 "," 23,538 "," 25,770 "," 18,746 "," 10,222 "," 8,453 "," 7,942 "," 5,140 "," 1,883 "
약 수,승차," 7,851 "," 13,574 "," 37,440 "," 53,825 "," 33,735 "," 25,332 "," 23,016 "," 23,025 "," 24,684 "," 23,158 "," 22,465 "," 23,602 "," 26,704 "," 33,504 "," 26,227 "," 19,515 "," 17,600 "," 14,596 "," 6,916 "," 1,018 "
,하차," 1,182 "," 6,270 "," 13,417 "," 36,034 "," 25,680 "," 17,855 "," 17,007 "," 17,024 "," 19,085 "," 19,589 "," 22,765 "," 25,324 "," 29,476 "," 38,235 "," 36,985 "," 26,845 "," 25,020 "," 25,368 "," 16,868 "," 8,326 "
금 호,승차," 7,272 "," 15,834 "," 38,945 "," 62,874 "," 37,523 "," 21,711 "," 18,600 "," 17,337 "," 17,853 "," 16,041 "," 14,649 "," 14,555 "," 15,463 "," 16,235 "," 13,203 "," 9,701 "," 8,735 "," 6,671 "," 3,091 ", 411 
,하차, 848 ," 4,216 "," 5,270 "," 9,989 "," 8,880 "," 8,626 "," 9,664 "," 11,127 "," 11,891 "," 13,166 "," 16,696 "," 19,662 "," 23,135 "," 32,390 "," 33,325 "," 25,739 "," 26,172 "," 27,059 "," 16,730 "," 4,455 "
옥 수,승차," 3,078 "," 9,936 "," 29,761 "," 44,188 "," 27,532 "," 18,027 "," 15,834 "," 15,667 "," 15,740 "," 13,997 "," 13,595 "," 13,858 "," 16,657 "," 20,002 "," 14,088 "," 9,535 "," 8,260 "," 6,361 "," 3,119 ", 505 
,하차, 832 ," 4,551 "," 7,955 "," 18,479 "," 10,730 "," 8,502 "," 9,317 "," 10,630 "," 12,125 "," 13,597 "," 15,858 "," 18,466 "," 22,031 "," 27,624 "," 28,316 "," 21,659 "," 21,035 "," 21,860 "," 14,591 "," 3,376 "
압구정,승차," 4,778 "," 11,761 "," 24,347 "," 42,687 "," 32,737 "," 35,700 "," 44,463 "," 52,969 "," 63,754 "," 69,778 "," 79,775 "," 86,098 "," 102,787 "," 142,758 "," 132,188 "," 111,248 "," 89,123 "," 78,381 "," 31,871 "," 3,646 "
,하차," 2,062 "," 24,801 "," 72,435 "," 199,471 "," 186,364 "," 90,687 "," 79,602 "," 67,310 "," 76,996 "," 77,440 "," 73,716 "," 74,516 "," 84,750 "," 101,840 "," 86,471 "," 44,386 "," 29,557 "," 24,847 "," 15,267 "," 5,562 "
신 사,승차," 5,331 "," 8,267 "," 16,859 "," 27,181 "," 22,106 "," 21,073 "," 25,319 "," 28,484 "," 35,125 "," 37,195 "," 42,636 "," 45,210 "," 54,217 "," 96,755 "," 76,810 "," 48,014 "," 49,160 "," 46,849 "," 21,383 "," 2,509 "
,하차," 1,429 "," 16,080 "," 40,366 "," 144,023 "," 99,144 "," 45,991 "," 36,978 "," 33,464 "," 37,232 "," 38,236 "," 37,128 "," 36,582 "," 41,626 "," 52,829 "," 50,662 "," 28,976 "," 20,808 "," 17,979 "," 11,116 "," 3,403 "
잠 원,승차," 1,196 "," 5,578 "," 17,238 "," 26,084 "," 16,534 "," 12,137 "," 11,532 "," 11,613 "," 11,896 "," 9,970 "," 11,539 "," 12,542 "," 13,489 "," 14,647 "," 11,264 "," 7,282 "," 5,622 "," 5,275 "," 1,901 ", 254 
,하차, 543 ," 4,510 "," 8,065 "," 12,787 "," 10,603 "," 6,556 "," 7,545 "," 8,955 "," 10,195 "," 10,605 "," 10,621 "," 12,041 "," 13,643 "," 16,603 "," 16,558 "," 12,149 "," 11,634 "," 12,599 "," 8,600 "," 2,312 "
고속터미,승차," 10,312 "," 14,066 "," 44,545 "," 70,532 "," 67,071 "," 67,651 "," 81,048 "," 95,133 "," 110,046 "," 117,845 "," 128,237 "," 145,443 "," 163,204 "," 181,956 "," 168,320 "," 166,066 "," 144,745 "," 97,829 "," 41,675 "," 3,867 "
,하차," 5,271 "," 50,769 "," 67,968 "," 104,698 "," 123,633 "," 100,930 "," 111,952 "," 120,239 "," 131,317 "," 139,537 "," 147,091 "," 151,427 "," 158,774 "," 174,867 "," 143,840 "," 86,215 "," 69,329 "," 50,284 "," 28,315 "," 5,812 "
교대(3),승차," 1,409 "," 3,443 "," 10,218 "," 12,265 "," 11,413 "," 13,677 "," 16,062 "," 17,191 "," 22,431 "," 23,824 "," 28,443 "," 25,954 "," 34,477 "," 60,403 "," 33,667 "," 23,750 "," 25,434 "," 31,995 "," 8,854 "," 1,981 "
,하차, 480 ," 7,124 "," 34,938 "," 62,471 "," 40,717 "," 19,520 "," 13,772 "," 14,038 "," 14,911 "," 13,784 "," 14,274 "," 13,116 "," 16,166 "," 19,473 "," 14,300 "," 8,555 "," 7,064 "," 6,462 "," 4,638 "," 1,879 "
남부터미,승차," 3,158 "," 10,442 "," 30,844 "," 45,864 "," 44,522 "," 44,550 "," 49,895 "," 56,623 "," 62,004 "," 62,344 "," 65,471 "," 69,551 "," 85,774 "," 140,049 "," 100,749 "," 72,085 "," 64,207 "," 56,492 "," 18,882 "," 1,589 "
,하차," 1,190 "," 29,633 "," 61,412 "," 182,700 "," 102,469 "," 63,795 "," 56,725 "," 55,002 "," 60,541 "," 65,931 "," 63,925 "," 67,390 "," 71,322 "," 78,279 "," 66,871 "," 37,693 "," 29,915 "," 22,430 "," 13,370 "," 3,460 "
양 재,승차," 6,612 "," 17,386 "," 44,033 "," 60,125 "," 48,540 "," 46,063 "," 51,386 "," 60,112 "," 72,763 "," 75,305 "," 85,187 "," 94,513 "," 108,987 "," 201,762 "," 137,326 "," 88,197 "," 89,087 "," 76,857 "," 27,315 "," 2,942 "
,하차," 1,786 "," 45,748 "," 114,403 "," 298,033 "," 160,086 "," 86,182 "," 67,872 "," 65,025 "," 68,807 "," 65,590 "," 61,362 "," 61,499 "," 69,915 "," 85,037 "," 77,514 "," 50,848 "," 41,055 "," 39,246 "," 25,523 "," 7,121 "
매 봉,승차," 1,619 "," 6,420 "," 20,249 "," 24,530 "," 16,534 "," 13,689 "," 13,629 "," 13,473 "," 15,146 "," 15,912 "," 18,108 "," 18,109 "," 24,966 "," 52,583 "," 33,282 "," 20,147 "," 21,156 "," 17,170 "," 5,844 ", 557 
,하차, 308 ," 9,073 "," 18,620 "," 73,668 "," 36,605 "," 14,870 "," 12,607 "," 11,891 "," 12,248 "," 12,266 "," 12,560 "," 13,648 "," 15,582 "," 19,712 "," 19,165 "," 11,486 "," 9,913 "," 9,619 "," 6,687 "," 2,168 "
도 곡,승차," 2,256 "," 7,003 "," 21,953 "," 28,692 "," 18,908 "," 13,966 "," 14,186 "," 14,900 "," 14,264 "," 13,836 "," 15,793 "," 19,151 "," 23,320 "," 30,406 "," 18,753 "," 12,853 "," 12,441 "," 10,621 "," 3,294 ", 438 
,하차, 317 ," 4,433 "," 17,952 "," 26,257 "," 22,356 "," 12,009 "," 10,752 "," 11,548 "," 12,138 "," 12,302 "," 12,151 "," 13,865 "," 15,198 "," 17,623 "," 18,007 "," 13,616 "," 11,537 "," 12,407 "," 9,048 "," 5,383 "
대 치,승차," 2,259 "," 12,001 "," 36,120 "," 35,760 "," 22,692 "," 17,170 "," 16,583 "," 17,222 "," 16,672 "," 16,571 "," 18,306 "," 20,341 "," 22,858 "," 26,085 "," 20,460 "," 17,650 "," 16,116 "," 22,814 "," 7,571 ", 943 
,하차, 417 ," 8,519 "," 16,642 "," 21,826 "," 20,560 "," 13,710 "," 12,900 "," 15,141 "," 18,200 "," 17,717 "," 18,844 "," 22,533 "," 26,099 "," 28,373 "," 27,285 "," 19,498 "," 15,818 "," 16,935 "," 11,866 "," 4,194 "
학여울,승차, 637 ," 1,566 "," 4,940 "," 5,654 "," 4,010 "," 3,171 "," 3,949 "," 3,989 "," 4,316 "," 4,689 "," 5,389 "," 6,837 "," 7,472 "," 8,426 "," 4,820 "," 2,980 "," 2,854 "," 2,737 ", 965 , 138 
,하차, 158 ," 1,613 "," 3,300 "," 7,418 "," 6,350 "," 4,956 "," 4,630 "," 4,880 "," 5,467 "," 5,285 "," 4,945 "," 5,031 "," 4,861 "," 4,769 "," 4,734 "," 3,111 "," 2,772 "," 2,925 "," 2,351 ", 774 
대 청,승차," 4,103 "," 12,779 "," 45,668 "," 45,249 "," 22,697 "," 16,695 "," 15,566 "," 15,637 "," 15,742 "," 15,228 "," 15,426 "," 18,862 "," 20,402 "," 25,684 "," 15,613 "," 11,368 "," 10,662 "," 8,587 "," 3,311 ", 461 
,하차, 832 ," 6,309 "," 15,424 "," 26,638 "," 13,011 "," 9,247 "," 9,402 "," 10,595 "," 11,213 "," 11,861 "," 14,686 "," 17,700 "," 18,475 "," 24,088 "," 26,810 "," 20,898 "," 19,669 "," 22,301 "," 17,459 "," 5,735 "
일 원,승차," 1,620 "," 7,219 "," 26,588 "," 24,139 "," 16,347 "," 15,526 "," 18,132 "," 17,799 "," 15,501 "," 17,362 "," 20,730 "," 24,294 "," 22,994 "," 17,285 "," 11,172 "," 9,589 "," 8,175 "," 5,181 "," 1,848 ", 306 
,하차, 833 ," 10,185 "," 18,704 "," 23,075 "," 18,504 "," 18,143 "," 14,644 "," 16,150 "," 18,595 "," 17,328 "," 14,563 "," 14,175 "," 15,128 "," 17,713 "," 18,699 "," 14,288 "," 11,392 "," 11,460 "," 8,380 "," 2,658 "
수 서,승차," 5,811 "," 12,974 "," 39,904 "," 52,851 "," 29,876 "," 20,711 "," 19,175 "," 18,658 "," 19,452 "," 17,982 "," 18,037 "," 19,705 "," 24,073 "," 35,174 "," 20,131 "," 13,611 "," 13,864 "," 9,528 "," 3,445 ", 424 
,하차, 352 ," 7,298 "," 15,603 "," 34,937 "," 19,503 "," 12,949 "," 12,961 "," 13,357 "," 14,519 "," 16,029 "," 17,559 "," 20,468 "," 23,240 "," 30,339 "," 32,416 "," 23,719 "," 21,583 "," 23,225 "," 16,460 "," 7,359 "
당고개,승차," 12,235 "," 21,466 "," 62,352 "," 59,794 "," 35,329 "," 25,085 "," 21,564 "," 22,482 "," 22,183 "," 20,173 "," 20,291 "," 20,759 "," 24,541 "," 23,989 "," 18,045 "," 13,030 "," 10,508 "," 7,274 "," 2,935 ", 448 
,하차, 77 ," 8,138 "," 11,942 "," 21,618 "," 18,217 "," 18,387 "," 15,276 "," 15,719 "," 16,662 "," 17,144 "," 19,306 "," 23,082 "," 26,578 "," 34,390 "," 38,955 "," 32,071 "," 28,274 "," 28,481 "," 24,305 "," 10,205 "
상 계,승차," 17,690 "," 46,606 "," 121,559 "," 119,570 "," 65,932 "," 45,674 "," 39,290 "," 38,825 "," 35,693 "," 31,353 "," 29,017 "," 31,129 "," 33,191 "," 31,986 "," 25,088 "," 19,549 "," 18,183 "," 16,024 "," 7,617 "," 1,037 "
,하차, 198 ," 11,404 "," 23,413 "," 25,677 "," 22,516 "," 20,748 "," 20,186 "," 24,123 "," 26,766 "," 28,451 "," 34,270 "," 38,606 "," 47,923 "," 65,850 "," 77,550 "," 60,627 "," 52,653 "," 54,814 "," 44,233 "," 16,313 "
노 원,승차," 13,462 "," 33,670 "," 75,915 "," 89,521 "," 54,574 "," 43,398 "," 39,248 "," 40,293 "," 41,734 "," 38,819 "," 38,229 "," 40,353 "," 43,955 "," 46,724 "," 38,553 "," 42,065 "," 37,471 "," 38,815 "," 20,283 "," 2,584 "
,하차, 667 ," 10,015 "," 22,426 "," 33,692 "," 43,923 "," 29,215 "," 28,759 "," 34,561 "," 39,858 "," 41,814 "," 45,877 "," 51,257 "," 67,439 "," 93,104 "," 100,061 "," 74,320 "," 64,101 "," 62,429 "," 48,036 "," 16,464 "
창 동,승차," 18,142 "," 47,864 "," 126,855 "," 122,709 "," 80,669 "," 62,738 "," 58,202 "," 58,275 "," 57,431 "," 53,079 "," 52,277 "," 58,276 "," 63,927 "," 69,830 "," 49,733 "," 37,864 "," 35,859 "," 31,761 "," 18,243 "," 2,362 "
,하차," 4,054 "," 15,234 "," 31,688 "," 58,667 "," 47,948 "," 43,803 "," 43,171 "," 49,859 "," 52,824 "," 56,328 "," 63,830 "," 72,079 "," 83,691 "," 106,954 "," 119,444 "," 91,937 "," 80,302 "," 81,870 "," 61,058 "," 21,860 "
