<역별 승하차인원>,,,,,,,,,,,,,,,,,,,,,
전체,구분,05~06,06~07,07~08,08~09,09~10,10~11,11~12,12~13,13~14,14~15,15~16,16~17,17~18,18~19,19~20,20~21,21~22,22~23,23~24,24~01
,하차," 1,776 "," 17,387 "," 97,659 "," 216,553 "," 81,613 "," 40,417 "," 38,851 "," 35,886 "," 41,671 "," 40,616 "," 39,145 "," 36,505 "," 38,273 "," 42,482 "," 39,071 "," 22,528 "," 14,108 "," 10,591 "," 7,401 "," 2,831 "
을지입구,승차," 2,466 "," 2,358 "," 5,710 "," 9,584 "," 15,440 "," 21,197 "," 32,455 "," 39,058 "," 59,700 "," 71,537 "," 86,276 "," 96,672 "," 117,474 "," 213,881 "," 179,670 "," 163,459 "," 141,696 "," 115,304 "," 45,427 "," 6,498 "
,하차," 1,832 "," 19,798 "," 95,314 "," 301,554 "," 161,928 "," 78,929 "," 79,215 "," 78,458 "," 84,275 "," 83,512 "," 81,644 "," 77,867 "," 80,932 "," 89,425 "," 67,771 "," 24,484 "," 12,678 "," 7,630 "," 5,020 "," 6,377 "
을지3(2),승차," 1,029 "," 2,127 "," 4,082 "," 6,641 "," 9,357 "," 12,763 "," 15,863 "," 18,037 "," 22,419 "," 25,725 "," 27,697 "," 29,746 "," 36,119 "," 72,364 "," 61,117 "," 34,836 "," 31,534 "," 24,620 "," 11,134 "," 1,899 "
,하차," 1,034 "," 11,296 "," 39,207 "," 116,054 "," 64,935 "," 35,232 "," 27,715 "," 22,540 "," 25,083 "," 24,066 "," 21,466 "," 19,638 "," 19,287 "," 19,578 "," 14,224 "," 6,841 "," 4,477 "," 3,464 "," 2,933 "," 1,255 "
을지4가,승차, 896 ," 2,015 "," 3,572 "," 5,919 "," 9,319 "," 12,726 "," 16,408 "," 19,145 "," 23,808 "," 27,474 "," 31,318 "," 33,534 "," 39,854 "," 67,313 "," 57,769 "," 25,343 "," 17,927 "," 11,116 "," 4,919 ", 857 
,하차, 961 ," 8,790 "," 26,713 "," 93,562 "," 59,011 "," 33,157 "," 29,525 "," 25,108 "," 24,848 "," 25,376 "," 23,138 "," 19,755 "," 16,371 "," 12,628 "," 8,055 "," 4,017 "," 3,227 "," 2,736 "," 2,117 ", 667 
동운(2),승차," 9,832 "," 9,164 "," 11,435 "," 15,277 "," 15,174 "," 16,376 "," 20,760 "," 26,390 "," 30,351 "," 38,314 "," 47,037 "," 59,301 "," 61,082 "," 65,065 "," 51,770 "," 40,778 "," 38,001 "," 37,075 "," 25,792 "," 4,897 "
,하차, 933 ," 11,717 "," 28,801 "," 67,006 "," 38,118 "," 37,690 "," 39,403 "," 41,140 "," 47,159 "," 50,269 "," 47,580 "," 43,159 "," 40,214 "," 43,680 "," 51,145 "," 39,698 "," 32,499 "," 25,094 "," 16,342 "," 5,737 "
신당,승차," 7,779 "," 12,349 "," 27,981 "," 38,776 "," 24,809 "," 19,077 "," 19,234 "," 20,296 "," 22,763 "," 23,359 "," 25,353 "," 28,178 "," 30,898 "," 38,462 "," 35,189 "," 23,969 "," 20,725 "," 15,190 "," 7,399 "," 1,142 "
